full_text,tokenized_text
hold me closer although youll leave before the sunrise might be bleeding,"['hold', 'me', 'closer', 'although', 'youll', 'leave', 'before', 'the', 'sunrise', 'might', 'be', 'bleeding']"
ini kok udah gaada opsi add to outline    batesan buat outlinenya atau gimana  mau buat daftar isi soalnya,"['udah', 'gaada', 'opsi', 'add', 'to', 'outline', 'batesan', 'outlinenya', 'gimana', 'daftar', 'isi']"
dari awal kita emang sendirian ,['emang']
gais aku mao curhat jd kmren aku utbk lagi krn sbnrnya  direstui ibuku kuliah disini,"['gais', 'mao', 'curhat', 'jd', 'kmren', 'utbk', 'krn', 'sbnrnya', 'direstui', 'ibuku', 'kuliah']"
adakah  mau kasih list tanggal pameran creabiz mw aku datengin satu satu,"['adakah', 'kasih', 'list', 'tanggal', 'pameran', 'creabiz', 'mw', 'datengin']"
mcd mulyos bisa pake qris gk,"['mcd', 'mulyos', 'pake', 'qris', 'gk']"
di lawson alfamidi mulyos  dessertnya  gais,"['lawson', 'alfamidi', 'mulyos', 'dessertnya', 'gais']"
kalian kalo salting mukanya merah ,"['kalo', 'salting', 'mukanya', 'merah']"
 kalo parkir di  kira kira sampe jam masi buka,"['kalo', 'parkir', 'sampe', 'jam', 'masi', 'buka']"
pengen dipeluk,"['pengen', 'dipeluk']"
nanya   ipd itu anonim  gak,"['nanya', 'ipd', 'anonim', 'gak']"
yuk  dateng ke pameran brandingnya anak dkv ini terbuka buat umum yaa,"['yuk', 'dateng', 'pameran', 'brandingnya', 'anak', 'dkv', 'terbuka', 'yaa']"
 info parkiran pusat buka sampe jam berapa  makasi,"['info', 'parkiran', 'pusat', 'buka', 'sampe', 'jam', 'makasi']"
ini sebenernya kapan  liburnya,"['sebenernya', 'liburnya']"
info psikolog di   bisa bpjs tapi weekend sabtu amp minggu buka makasih ,"['info', 'psikolog', 'bpjs', 'weekend', 'sabtu', 'amp', 'minggu', 'buka', 'makasih']"
info tempat service laptop dimana   deket its atau sekitarnya,"['info', 'service', 'laptop', 'dimana', 'deket', 'its']"
info   udah pengalaman ndaki suka ndaki sender  lgi cari temen rep  nnti sender dm,"['info', 'udah', 'pengalaman', 'ndaki', 'suka', 'ndaki', 'sender', 'lgi', 'cari', 'temen', 'rep', 'nnti', 'sender', 'dm']"
rill khh ,"['rill', 'khh']"
minta saran kombinasi couple lucu fteic x ftspk,"['saran', 'kombinasi', 'couple', 'lucu', 'fteic', 'x', 'ftspk']"
guys   mau  sama temenku f,"['guys', 'temenku', 'f']"
its merchandise bukanya jam brp ,"['its', 'merchandise', 'bukanya', 'jam', 'brp']"
info lapo batak ,"['info', 'lapo', 'batak']"
bisa ngga survive di perkuliahan tanpa temen  bener bener temen,"['ngga', 'survive', 'perkuliahan', 'temen', 'bener', 'bener', 'temen']"
  semester ini gapunya temen  bisa diajak kemana mana gasih sender sering dikatain gatau  sm temen soalnya gapernah kemana mana   sama ,"['semester', 'gapunya', 'temen', 'diajak', 'kemana', 'gasih', 'sender', 'dikatain', 'gatau', 'sm', 'temen', 'gapernah', 'kemana']"
tempat nyendiri di  tu dimana si  lagi pengen menyendiri huhu,"['nyendiri', 'tu', 'dimana', 'si', 'pengen', 'menyendiri', 'huhu']"
 aku besok sek eas,"['besok', 'sek', 'eas']"
libur  normal dimulai bulan juli,"['libur', 'normal', 'juli']"
infokan kerak telor enak area,"['infokan', 'kerak', 'telor', 'enak', 'area']"
dah minggu malah dipersulit sm dosen asistensi  tolong doain smoga cpet kelar tubes tubes iniii,"['dah', 'minggu', 'dipersulit', 'sm', 'dosen', 'asistensi', 'tolong', 'doain', 'smoga', 'cpet', 'kelar', 'tubes', 'tubes', 'iniii']"
info perumdos udah nyala belom ,"['info', 'perumdos', 'udah', 'nyala', 'belom']"
info penitipan motor   atau    sekalian  mau aku titipin motor sampe juni boleh reply yaa,"['info', 'penitipan', 'motor', 'titipin', 'motor', 'sampe', 'juni', 'reply', 'yaa']"
ccws perpus buka kah,"['ccws', 'perpus', 'buka', 'kah']"
gaiz rekom drakor di netflix  baguss bngt dongg,"['gaiz', 'rekom', 'drakor', 'netflix', 'baguss', 'bngt', 'dongg']"
lama bgt  pemadaman e,"['bgt', 'pemadaman', 'e']"
haloo  ,['haloo']
 perumdos udah nyala belum  sender ngekos di perumdos cuma lg di cafe ngerjain ta karena td masi padam tolong kabari   kl udah nyala,"['perumdos', 'udah', 'nyala', 'sender', 'ngekos', 'perumdos', 'lg', 'cafe', 'ngerjain', 'ta', 'td', 'masi', 'padam', 'tolong', 'kabari', 'kl', 'udah', 'nyala']"
perumdos blok d mati listrik dari tadi pagi sampai sekarang di lokasi kalian mati juga  sih tapi di kosku airnya tetep hidup,"['perumdos', 'blok', 'd', 'mati', 'listrik', 'pagi', 'lokasi', 'mati', 'sih', 'kosku', 'airnya', 'tetep', 'hidup']"
  pernah isi ipd rata atas  sebenernya sender selalu semua rata bawah klo isi cmn dosen  ini bner bener bad bgt aman gak  kira kira ngaruh nilai  takut,"['isi', 'ipd', 'sebenernya', 'sender', 'klo', 'isi', 'cmn', 'dosen', 'bner', 'bener', 'bad', 'bgt', 'aman', 'gak', 'ngaruh', 'nilai', 'takut']"
ini pemadamannya sampe kapan ,"['pemadamannya', 'sampe']"
katanya sampe jam ajaaa,"['sampe', 'jam', 'ajaaa']"
kalian kalo mau potong rambut biasanya dimana,"['kalo', 'potong', 'rambut', 'dimana']"
ditemukan hp jatuh di depan asrama   nelfon an alviansyah,"['ditemukan', 'hp', 'jatuh', 'asrama', 'nelfon', 'an', 'alviansyah']"
,[]
rekkk its buka cabang di delhi kah wkwkwkwk,"['rekkk', 'its', 'buka', 'cabang', 'delhi', 'kah', 'wkwkwkwk']"
guysss  tanggal masih di  boleh bangett nih dateng ke eventnya studi pembangunan bakal  penampilan teater dan pameran huhuhuuu yukk daftar daftarr,"['guysss', 'tanggal', 'bangett', 'nih', 'dateng', 'eventnya', 'studi', 'pembangunan', 'penampilan', 'teater', 'pameran', 'huhuhuuu', 'yukk', 'daftar', 'daftarr']"
,[]
haloooo dedek maba gemasshh jalur snbt maba studi pembangunan aka sp selamat datang di departemen tercientahh hayuuuu dihubungin cpnya yaa once again congrats cihuy selamat makan bakso pak parlin nanti,"['haloooo', 'dedek', 'maba', 'gemasshh', 'jalur', 'snbt', 'maba', 'studi', 'pembangunan', 'aka', 'sp', 'selamat', 'departemen', 'tercientahh', 'hayuuuu', 'dihubungin', 'cpnya', 'yaa', 'once', 'again', 'congrats', 'cihuy', 'selamat', 'makan', 'bakso', 'parlin']"
gais info tempat jual kue lumpur deket dongg sender bm bgt huhu,"['gais', 'info', 'jual', 'kue', 'lumpur', 'deket', 'dongg', 'sender', 'bm', 'bgt', 'huhu']"
info ayce dekat its dan harganya ,"['info', 'ayce', 'its', 'harganya']"
disakinah  kipas kecil  ,"['disakinah', 'kipas']"
sapa mau gym di arayafithub yok m sy,"['sapa', 'gym', 'arayafithub', 'yok', 'm', 'sy']"
live music di kanpus,"['live', 'music', 'kanpus']"
ini mati listrik sampai kapan ,"['mati', 'listrik']"
ngga sabar lihat maba nge lapres fisdas disetiap sudut,"['ngga', 'sabar', 'lihat', 'maba', 'nge', 'lapres', 'fisdas', 'disetiap', 'sudut']"
ihiy welcome manteman pmk jangan lupa isi form dan ajak temen temen  lain yaw biar bisa join grup,"['ihiy', 'welcome', 'manteman', 'pmk', 'lupa', 'isi', 'form', 'ajak', 'temen', 'temen', 'yaw', 'biar', 'join', 'grup']"
gais mekanisme daftar kkn di its gimana ,"['gais', 'mekanisme', 'daftar', 'kkn', 'its', 'gimana']"
